Exercise,Muscle Groups
Push-Ups,"Pectoralis Major, Triceps, Deltoids"
Bench Press,"Pectoralis Major, Triceps, Anterior Deltoids"
Chest Fly,Pectoralis Major
Pull-Ups/Chin-Ups,"Latissimus Dorsi, Biceps, Trapezius"
Bent-Over Rows,"Latissimus Dorsi, Rhomboids, Trapezius, Biceps"
Deadlifts,"Erector Spinae, Glutes, Hamstrings"
Overhead Press,"Deltoids (Anterior, Lateral), Triceps"
Lateral Raises,Lateral Deltoids
Face Pulls,"Posterior Deltoids, Trapezius"
Bicep Curls,"Biceps Brachii, Brachialis"
Tricep Dips,"Triceps Brachii, Anterior Deltoids"
Hammer Curls,"Brachioradialis, Biceps Brachii"
Plank,"Rectus Abdominis, Transverse Abdominis, Serratus Anterior"
Russian Twists,"Obliques (External, Internal), Rectus Abdominis"
Leg Raises,"Rectus Abdominis, Hip Flexors"
Hip Thrusts,"Gluteus Maximus, Hamstrings"
Clamshells,"Gluteus Medius, Gluteus Minimus"
Lunges,"Gluteus Maximus, Quadriceps, Hamstrings"
Squats,"Quadriceps, Glutes, Hamstrings"
Leg Press,"Quadriceps, Glutes"
Romanian Deadlifts,"Hamstrings, Glutes"
Calf Raises,"Gastrocnemius, Soleus"
Neck Flexion/Extension with Resistance Bands,"Sternocleidomastoid, Splenius Capitis"
Back Extensions,"Erector Spinae, Quadratus Lumborum"
Wrist Curls,Flexor Muscles of the Forearm
Reverse Wrist Curls,Extensor Muscles of the Forearm
